Rice Bowls,Rice Bowl Price,Pepsi,Beer
391,$9.30,313,90
418,$9.10,326,100
459,$8.50,358,115
424,$9.50,331,81
447,$8.70,380,89
383,$9.70,291,92
399,$9.80,307,96
440,$8.80,361,66
436,$8.60,344,74
413,$9.60,351,62
428,$8.20,338,64
479,$8.00,374,101
462,$8.10,388,69
387,$9.80,325,77
454,$8.90,341,114
418,$9.40,314,88
447,$8.30,375,107
442,$9.60,376,102
381,$9.90,312,95
401,$9.30,301,68
468,$8.10,370,70
428,$8.70,321,64
480,$8.10,374,115
436,$8.10,327,70
474,$8.50,370,76
487,$8.10,414,93
459,$8.80,386,73
421,$9.50,354,76
401,$9.50,313,92
420,$8.90,319,67
435,$8.10,365,104
458,$8.80,357,92
379,$10.00,284,87
426,$9.40,337,98
443,$8.20,368,111
483,$8.10,406,101
409,$8.70,348,82
406,$9.70,325,85
454,$8.00,359,104
468,$8.50,351,80
421,$8.80,345,63
404,$9.10,311,73
387,$9.90,298,74
412,$8.90,309,74
400,$10.00,324,84
418,$9.50,351,67
441,$8.50,375,88
409,$9.10,335,86
443,$8.80,346,71
425,$9.30,340,94
445,$8.70,369,67
467,$8.50,369,93
473,$8.50,364,71
437,$8.80,350,96
445,$8.10,338,71
380,$10.00,289,65
415,$10.00,311,104
430,$9.10,327,77
433,$8.60,338,100
395,$9.60,332,83
423,$9.30,334,106
463,$8.20,384,93
436,$8.70,331,74
394,$9.50,296,83
412,$9.50,350,82
416,$9.50,354,71
419,$9.20,356,67
429,$9.70,326,99
409,$9.90,319,78
415,$8.60,336,66
437,$8.50,336,92
417,$9.90,317,63
441,$9.60,353,88
421,$8.50,320,101
436,$8.20,331,74
447,$9.30,362,103
416,$9.10,312,71
415,$10.00,336,62
447,$8.90,371,72
459,$9.00,367,78
425,$9.50,332,77
432,$9.30,328,86
437,$8.10,354,66
423,$8.60,338,93
459,$8.40,349,110
473,$8.40,355,95
437,$9.20,341,96
413,$9.40,326,78
441,$9.60,353,66
414,$9.00,323,79
455,$8.40,382,73
423,$8.70,343,72
419,$8.70,335,80
408,$9.20,339,73
398,$9.90,338,72
421,$8.50,349,84
451,$8.90,379,108
424,$9.20,331,68
410,$9.40,328,82
450,$8.00,342,72
415,$9.90,349,104
460,$8.40,363,97
464,$8.50,390,97
439,$8.90,364,97
437,$9.10,371,74
459,$8.30,390,101
433,$9.80,364,100
432,$8.30,337,73
431,$9.20,353,86
417,$8.90,329,75
380,$9.80,285,95
423,$9.90,343,89
431,$8.60,332,86
451,$8.70,379,95
474,$8.10,360,119
413,$9.30,330,66
431,$8.60,332,86
387,$9.60,298,77
404,$9.70,303,77
424,$9.80,326,89
391,$9.40,305,70
446,$9.40,348,98
422,$9.90,333,72
415,$10.00,315,104
422,$9.90,346,89
460,$8.30,345,97
444,$9.10,373,67
434,$8.30,356,87
430,$8.20,344,95
411,$9.00,316,62
436,$9.10,340,78
432,$9.30,328,91
430,$9.40,323,90
425,$9.90,327,98
400,$9.40,316,60
448,$8.90,358,103
394,$9.60,299,87
434,$8.30,352,109
448,$8.50,376,99
392,$10.00,321,98
407,$8.90,305,90
453,$8.60,371,91
462,$8.50,351,83
410,$9.40,332,90
468,$8.50,365,108
427,$9.00,342,98
445,$9.30,369,89
382,$9.90,313,57
434,$9.40,360,104
426,$9.40,341,94
448,$8.80,381,76
403,$9.00,334,64
413,$9.00,322,87
420,$8.40,353,101
404,$9.80,311,73
483,$8.10,362,106
454,$9.20,363,114
432,$9.10,346,65
386,$10.00,293,97
402,$9.00,302,96
468,$8.10,360,89
400,$9.60,320,96
419,$8.70,335,63
408,$9.00,314,86
452,$8.70,366,90
410,$8.90,349,86
395,$9.70,332,59
430,$9.90,344,69
388,$9.70,318,74
393,$9.30,307,67
473,$8.20,374,118
465,$8.80,349,88
395,$9.70,296,87
431,$8.00,328,91
452,$9.00,348,77
397,$9.60,310,95
446,$8.10,375,89
408,$9.50,326,61
430,$9.80,361,69
414,$8.70,323,75
418,$9.50,314,92
447,$8.50,380,103
404,$9.40,327,81
408,$9.90,310,61
457,$8.00,356,82
421,$9.50,324,93
